p_ID	p_Name	p_Brand	p_link	p_price	p_category	p_sku	p_stars	p_nReviews
	P423728	My Daily Dose of Vitamins	DERMAdoctor	https://www.sephora.com/product/my-daily-dose-vitamins-P423728	65.00	Face Serums	1976919	4.1765	17
	P408254	Crystal Iceplant Pressed Serum	DERMAdoctor	https://www.sephora.com/product/crystal-iceplant-pressed-serum-P408254	49.00	Face Serums	1833037	4.4138	29
	P394691	Immortelle Divine Extract	Guerlain	https://www.sephora.com/product/immortelle-divine-extract-P394691	119.00	Face Serums	1660414	4.5	8
	P387137	Mega-C™ Dual Radiance Serum	DERMAdoctor	https://www.sephora.com/product/mega-c-dual-radiance-serum-P387137	90.00	Face Serums	1630136	3.6452	31
	P308602	Umbrian Clay Mattifying Serum	Shiseido	https://www.sephora.com/product/umbrian-clay-mattifying-serum-P308602	38.00	Face Serums	1418557	3.7128	94
	P384601	Photodynamic Therapy Age Spot Eraser & Skin Brightener	Clarins	https://www.sephora.com/product/photodynamic-therapy-age-spot-eraser-skin-brightener-P384601	60.00	Face Serums	1566058	3.7692	13
	P72705	High Performance Vitamin A Facial Treatment	Origins	https://www.sephora.com/product/high-performance-vitamin-a-facial-treatment-P72705	49.00	Face Serums	1605484	4.3	30
	P439641	Stem Cell Serum	DERMAdoctor	https://www.sephora.com/product/stem-cell-serum-P439641	135.00	Face Serums	2172872	4.5	2
	P302932	Wrinkle Revenge® Ultimate Hyaluronic Serum	Guerlain	https://www.sephora.com/product/wrinkle-revenge-ultimate-hyaluronic-serum-P302932	68.00	Face Serums	1395649	4.0263	76
	P309212	Rose Lifting Serum	Shiseido	https://www.sephora.com/product/rose-lifting-serum-P309212	185.00	Face Serums	1424068	4.2	5
	P399751	Advanced C Radiance Cream with Vitamin C Collagen Cofactor 10x	NuFACE	https://www.sephora.com/product/advanced-c-radiance-cream-vitamin-c-collagen-cofactor-P399751	85.00	Face Serums	1747849	3.9524	21
	P399747	Intensive Night Treatment with Hylaplex® and Marula Oil	Anthony	https://www.sephora.com/product/intensive-night-treatment-hylaplex-marula-oil-P399747	155.00	Face Serums	1748029	4.2857	7
	P391635	Chlorella Serum BRIGHTEN & TACKLE SPOTS	LightStim	https://www.sephora.com/product/chlorella-serum-brighten-tackle-spots-P391635	35.00	Face Serums	1657980	3.64	25
	P381439	Dynaspot	L'Occitane	https://www.sephora.com/product/dynaspot-P381439	34.00	Face Serums	1560218	3.9091	11
	P440471	Visionnaire Skin Solutions 15% Pure Vitamin C Correcting Concentrate	Blithe	https://www.sephora.com/product/visionnaire-skin-solutions-15-pure-vitamin-c-correcting-concentrate-P440471	65.00	Face Serums	2186757	4.3694	379
	P407101	Serum Savant	Anthony	https://www.sephora.com/product/serum-savant-P407101	250.00	Face Serums	1822154	4.1667	6
	P417604	Hydra Life Deep Hydration Sorbet Water Essence	Fresh	https://www.sephora.com/product/hydra-life-deep-hydration-sorbet-water-essence-P417604	73.00	Face Serums	1893031	4.5238	21
	P411358	Vitamin B3+ Niacinamide Serum RESCUE TROUBLED SKIN	DERMAdoctor	https://www.sephora.com/product/vitamin-b3-niacinamide-serum-rescue-troubled-skin-P411358	35.00	Face Serums	1837228	3.45	20
	P415682	MOISTURE BOUND Hydration Boost	Lancer	https://www.sephora.com/product/moisture-bound-hydration-boost-P415682	120.00	Face Serums	1906635	4.7273	11
	P384790	Future Solution LX Superior Radiance Serum	Omorovicza	https://www.sephora.com/product/future-solution-lx-superior-radiance-serum-P384790	225.00	Face Serums	1567643	3.8	5
	P385269	Clinical Concentrate Radiance Booster™	Lancer	https://www.sephora.com/product/clinical-concentrate-radiance-booster-P385269	68.00	Face Serums	1591015	3.9545	44
	P415702	pores no more® multi-performance stick	Lancôme	https://www.sephora.com/product/pores-no-more-multi-performance-stick-P415702	35.00	Face Serums	1899111	3.6484	91
	P381433	Intense Hydration Serum	Dior	https://www.sephora.com/product/intense-hydration-serum-P381433	95.00	Face Serums	1560283	3.8333	12
	P386839	Pore Master Patch	AMOREPACIFIC	https://www.sephora.com/product/pore-master-patch-P386839	7.50	Face Serums	1622398	3.3744	211
	P424946	Tight'N™ Cryogenic Tightening Gel	Shiseido	https://www.sephora.com/product/tight-n-tm-cryogenic-tightening-gel-P424946	98.00	Face Serums	2015006	4.0301	133
	P406311	Hyaluronic Marine Hydration Booster	Anthony	https://www.sephora.com/product/white-lucent-microtargeting-spot-corrector-P406311	82.00	Face Serums	1545748	3.3793	58
	P394357	White Lucent MicroTargeting Spot Corrector	Origins	https://www.sephora.com/product/my-daily-dose-custom-blended-serum-set-P394357	69.00	Face Serums	1431436	4.2562	121
	P397052	My Daily Dose Custom-Blended Serum Set	NuFACE	https://www.sephora.com/product/abeille-royale-daily-repair-serum-P397052	115.00	Face Serums	1874718	3.5625	16
	P432055	Repairwear Laser Focus	bareMinerals	https://www.sephora.com/product/wild-rose-15-vitamin-c-spotless-serum-P432055	12.00	Face Serums	2185395	3.9167	60
