c_name	c_eyecolor	c_haircolor	c_skintone	c_skintype	c_skinconcerns	c_age
JerBuzz	blue	black	medium	combination	blackheads	None
essence09	green	black	medium	combination	blackheads	None
Meaghan223	blue	brunette	porcelain	combination	acne	None
BritneyToepfer	blue	brunette	light	combination	acne	None
Shahinoor123	brown	black	medium	combination	aging	None
DanikaMarieJ	blue	blonde	tan	combination	aging	None
nespille	hazel	brunette	light	combination	acne	None
mariavel	hazel	brunette	medium	combination	acne	None
Carlyjulia	brown	blonde	fair	dry	acne	None
TVArtist	green	brunette	tan	combination	sensitivity	18to24
EmmaMarC	blue	blonde	light	combination	acne	None
Janicemaynard	blue	brunette	tan	normal	acne	None
Kaylacordero420	brown	brunette	light	combination	darkCircles	None
aprima	hazel	blonde	medium	dry	cellulite	None
jennakats	brown	brunette	medium	combination	blackheads	None
riskybizzxoxo	None	None	None	None	None	None
jamie0000	blue	blonde	medium	combination	acne	None
Bai86895	brown	blonde	medium	normal	None	None
Darbacious	blue	blonde	light	combination	aging	None
alweig37	green	black	tan	combination	aging	None
riaboo	None	None	fair	combination	None	None
Knytlee	blue	black	fair	oily	acne	None
atorres08	hazel	brunette	medium	oily	cellulite	None
Ceceliams	brown	brunette	porcelain	combination	acne	None
anuqn	brown	black	porcelain	combination	acne	None
alexlunamarie	brown	blonde	fair	combination	None	18to24
KyleeNicole	brown	brunette	medium	normal	aging	None
KristinHill3rd	hazel	brunette	medium	oily	acne	None
Vicnic1418	brown	brunette	medium	combination	acne	None
Mad11	green	blonde	medium	combination	blackheads	None
Hannnnah12	green	brunette	olive	dry	darkCircles	None
kittyxt	brown	black	light	combination	acne	None
Astrochemist	brown	black	light	combination	aging	25to34
funkygirl	brown	brunette	medium	dry	aging	None
OliviaL3158	brown	brunette	light	combination	blackheads	None
ojm717	brown	brunette	medium	combination	acne	None
ybeauty101	brown	black	deep	oily	acne	None
RaeMajor	brown	brunette	fair	combination	acne	None
ShelleyLC	hazel	auburn	fair	combination	None	35to44
MagsRobs	hazel	brunette	fair	combination	acne	None
MadiSuchSki	brown	brunette	medium	oily	acne	None
chelsilb	green	blonde	medium	combination	acne	None
VVictoria17	hazel	blonde	porcelain	combination	acne	None
BreeBib	hazel	blonde	light	combination	aging	None
MissJeena	brown	black	deep	combination	blackheads	35to44
mollyh93	blue	brunette	light	dry	acne	None
kaleyyyyy	brown	blonde	light	dry	acne	None
NicoleSekloch	brown	brunette	olive	oily	acne	None
HannahKaytlin	brown	brunette	fair	combination	acne	None
jennaj95	blue	blonde	fair	combination	acne	None
ChristianT	brown	blonde	light	dry	acne	None
Becky723	blue	blonde	medium	combination	blackheads	None
MarissaM47	green	brunette	fair	dry	acne	None
emmerella	brown	brunette	light	dry	acne	None
jjcamer187	blue	blonde	fair	combination	aging	None
ClaireH14	brown	black	olive	oily	darkCircles	None
JJVO19	hazel	blonde	fair	combination	dullness	over54
Acl5292	green	blonde	fair	combination	acne	None
LSW617	brown	brunette	fair	combination	acne	25to34
JessPace	blue	brunette	porcelain	dry	darkCircles	None
sweetbabyray	hazel	blonde	porcelain	dry	pores	None
Ashscout20	blue	blonde	medium	normal	acne	None
bhaktisahoo	brown	black	olive	combination	unevenSkinTones	over54
beautybearxo	brown	black	medium	combination	acne	None
Calilulu	brown	brunette	medium	combination	acne	None
JerBuzz	blue	black	medium	combination	blackheads	None
essence09	green	black	medium	combination	blackheads	None
Meaghan223	blue	brunette	porcelain	combination	acne	None
Katiimichelle	brown	black	medium	normal	acne	None
aislinn101	blue	blonde	porcelain	dry	aging	None
Carolinex099	green	brunette	medium	normal	sensitivity	None
dianajrich	green	black	medium	combination	acne	None
xoangelies	blue	black	tan	normal	darkCircles	35to44
ASM94	blue	blonde	light	dry	acne	None
stefaniestax	blue	black	light	combination	calluses	None
KaleighErin18	brown	blonde	fair	combination	acne	None
samoriarty	hazel	brunette	fair	combination	acne	None
conniecanxx	brown	brunette	light	combination	aging	None
Emberry1105	green	blonde	light	combination	acne	None
suechai3	brown	black	medium	combination	None	35to44
NOneRouge	blue	blonde	fair	normal	cuticles	None
Katiesque	blue	red	fair	oily	acne	None
TiffanySch	brown	blonde	light	oily	acne	None
miraaldini	brown	brunette	light	combination	acne	None
LexiLou05	green	blonde	porcelain	combination	acne	None
chertieu	brown	black	light	combination	acne	None
sarbear59	brown	brunette	fair	combination	None	None
nancyyng	brown	black	medium	dry	darkCircles	None
tabernathy	green	brunette	medium	combination	acne	None
jada25	brown	brunette	light	combination	blackheads	None
Pdosch	blue	blonde	medium	combination	blackheads	None
smilingaway	brown	black	light	oily	acne	None
AbbieJoAnn	green	blonde	fair	dry	darkCircles	None
Vikkibowlsb	blue	brunette	fair	combination	redness	None
Marlaynajulie	green	black	medium	combination	None	None
KatieJ11	brown	brunette	light	combination	acne	None
SamanthaGeri	brown	black	tan	oily	acne	None
Livprince	blue	blonde	porcelain	combination	acne	None
AbbyB97	blue	brunette	porcelain	combination	acne	None
jasmineyin	brown	black	medium	normal	acne	None
Charmizzlee	brown	blonde	tan	oily	acne	None
kconnolls	green	blonde	light	combination	aging	None
legallysdunc	blue	blonde	light	combination	acne	None
getglamwithjen	brown	brunette	light	dry	darkCircles	None
BritneyToepfer	blue	brunette	light	combination	acne	None
Shahinoor123	brown	black	medium	combination	aging	None
DanikaMarieJ	blue	blonde	tan	combination	aging	None
nespille	hazel	brunette	light	combination	acne	None
mariavel	hazel	brunette	medium	combination	acne	None
Carlyjulia	brown	blonde	fair	dry	acne	None
TVArtist	green	brunette	tan	combination	sensitivity	18to24
EmmaMarC	blue	blonde	light	combination	acne	None
Janicemaynard	blue	brunette	tan	normal	acne	None
Kaylacordero420	brown	brunette	light	combination	darkCircles	None
aprima	hazel	blonde	medium	dry	cellulite	None
jennakats	brown	brunette	medium	combination	blackheads	None
riskybizzxoxo	None	None	None	None	None	None
jamie0000	blue	blonde	medium	combination	acne	None
Bai86895	brown	blonde	medium	normal	None	None
Darbacious	blue	blonde	light	combination	aging	None
alweig37	green	black	tan	combination	aging	None
riaboo	None	None	fair	combination	None	None
Knytlee	blue	black	fair	oily	acne	None
atorres08	hazel	brunette	medium	oily	cellulite	None
Ceceliams	brown	brunette	porcelain	combination	acne	None
anuqn	brown	black	porcelain	combination	acne	None
alexlunamarie	brown	blonde	fair	combination	None	18to24
KyleeNicole	brown	brunette	medium	normal	aging	None
KristinHill3rd	hazel	brunette	medium	oily	acne	None
Mad11	green	blonde	medium	combination	blackheads	None
Vicnic1418	brown	brunette	medium	combination	acne	None
Hannnnah12	green	brunette	olive	dry	darkCircles	None
kittyxt	brown	black	light	combination	acne	None
Astrochemist	brown	black	light	combination	aging	25to34
funkygirl	brown	brunette	medium	dry	aging	None
OliviaL3158	brown	brunette	light	combination	blackheads	None
ojm717	brown	brunette	medium	combination	acne	None
Katiimichelle	brown	black	medium	normal	acne	None
aislinn101	blue	blonde	porcelain	dry	aging	None
Carolinex099	green	brunette	medium	normal	sensitivity	None
dianajrich	green	black	medium	combination	acne	None
xoangelies	blue	black	tan	normal	darkCircles	35to44
ASM94	blue	blonde	light	dry	acne	None
stefaniestax	blue	black	light	combination	calluses	None
KaleighErin18	brown	blonde	fair	combination	acne	None
samoriarty	hazel	brunette	fair	combination	acne	None
conniecanxx	brown	brunette	light	combination	aging	None
Emberry1105	green	blonde	light	combination	acne	None
suechai3	brown	black	medium	combination	None	35to44
NOneRouge	blue	blonde	fair	normal	cuticles	None
tabernathy	green	brunette	medium	combination	acne	None
TiffanySch	brown	blonde	light	oily	acne	None
miraaldini	brown	brunette	light	combination	acne	None
LexiLou05	green	blonde	porcelain	combination	acne	None
chertieu	brown	black	light	combination	acne	None
Vikkibowlsb	blue	brunette	fair	combination	redness	None
AbbieJoAnn	green	blonde	fair	dry	darkCircles	None
sarbear59	brown	brunette	fair	combination	None	None
nancyyng	brown	black	medium	dry	darkCircles	None
smilingaway	brown	black	light	oily	acne	None
jada25	brown	brunette	light	combination	blackheads	None
Pdosch	blue	blonde	medium	combination	blackheads	None
Katiesque	blue	red	fair	oily	acne	None
Marlaynajulie	green	black	medium	combination	None	None
KatieJ11	brown	brunette	light	combination	acne	None
sgalbo	blue	brunette	olive	dry	darkCircles	None
legallysdunc	blue	blonde	light	combination	acne	None
getglamwithjen	brown	brunette	light	dry	darkCircles	None
kconnolls	green	blonde	light	combination	aging	None
SamanthaGeri	brown	black	tan	oily	acne	None
Livprince	blue	blonde	porcelain	combination	acne	None
AbbyB97	blue	brunette	porcelain	combination	acne	None
Courtsmkupcornr	green	auburn	light	combination	aging	None
Mbodle	blue	blonde	fair	combination	acne	None
ybeauty101	brown	black	deep	oily	acne	None
RaeMajor	brown	brunette	fair	combination	acne	None
ShelleyLC	hazel	auburn	fair	combination	None	35to44
MagsRobs	hazel	brunette	fair	combination	acne	None
MadiSuchSki	brown	brunette	medium	oily	acne	None
chelsilb	green	blonde	medium	combination	acne	None
VVictoria17	hazel	blonde	porcelain	combination	acne	None
BreeBib	hazel	blonde	light	combination	aging	None
MissJeena	brown	black	deep	combination	blackheads	35to44
mollyh93	blue	brunette	light	dry	acne	None
kaleyyyyy	brown	blonde	light	dry	acne	None
NicoleSekloch	brown	brunette	olive	oily	acne	None
HannahKaytlin	brown	brunette	fair	combination	acne	None
jennaj95	blue	blonde	fair	combination	acne	None
ChristianT	brown	blonde	light	dry	acne	None
Becky723	blue	blonde	medium	combination	blackheads	None
MarissaM47	green	brunette	fair	dry	acne	None
emmerella	brown	brunette	light	dry	acne	None
jjcamer187	blue	blonde	fair	combination	aging	None
ClaireH14	brown	black	olive	oily	darkCircles	None
JJVO19	hazel	blonde	fair	combination	dullness	over54
Acl5292	green	blonde	fair	combination	acne	None
LSW617	brown	brunette	fair	combination	acne	25to34
JessPace	blue	brunette	porcelain	dry	darkCircles	None
sweetbabyray	hazel	blonde	porcelain	dry	pores	None
Ashscout20	blue	blonde	medium	normal	acne	None
bhaktisahoo	brown	black	olive	combination	unevenSkinTones	over54
beautybearxo	brown	black	medium	combination	acne	None
Calilulu	brown	brunette	medium	combination	acne	None
JerBuzz	blue	black	medium	combination	blackheads	None
essence09	green	black	medium	combination	blackheads	None
Meaghan223	blue	brunette	porcelain	combination	acne	None
BritneyToepfer	blue	brunette	light	combination	acne	None
Shahinoor123	brown	black	medium	combination	aging	None
DanikaMarieJ	blue	blonde	tan	combination	aging	None
nespille	hazel	brunette	light	combination	acne	None
mariavel	hazel	brunette	medium	combination	acne	None
Carlyjulia	brown	blonde	fair	dry	acne	None
TVArtist	green	brunette	tan	combination	sensitivity	18to24
EmmaMarC	blue	blonde	light	combination	acne	None
Janicemaynard	blue	brunette	tan	normal	acne	None
Kaylacordero420	brown	brunette	light	combination	darkCircles	None
aprima	hazel	blonde	medium	dry	cellulite	None
jennakats	brown	brunette	medium	combination	blackheads	None
riskybizzxoxo	None	None	None	None	None	None
jamie0000	blue	blonde	medium	combination	acne	None
Bai86895	brown	blonde	medium	normal	None	None
Darbacious	blue	blonde	light	combination	aging	None
alweig37	green	black	tan	combination	aging	None
riaboo	None	None	fair	combination	None	None
Knytlee	blue	black	fair	oily	acne	None
atorres08	hazel	brunette	medium	oily	cellulite	None
Ceceliams	brown	brunette	porcelain	combination	acne	None
anuqn	brown	black	porcelain	combination	acne	None
alexlunamarie	brown	blonde	fair	combination	None	18to24
KyleeNicole	brown	brunette	medium	normal	aging	None
KristinHill3rd	hazel	brunette	medium	oily	acne	None
Vicnic1418	brown	brunette	medium	combination	acne	None
Mad11	green	blonde	medium	combination	blackheads	None
Hannnnah12	green	brunette	olive	dry	darkCircles	None
kittyxt	brown	black	light	combination	acne	None
Astrochemist	brown	black	light	combination	aging	25to34
funkygirl	brown	brunette	medium	dry	aging	None
OliviaL3158	brown	brunette	light	combination	blackheads	None
ojm717	brown	brunette	medium	combination	acne	None
Katiimichelle	brown	black	medium	normal	acne	None
aislinn101	blue	blonde	porcelain	dry	aging	None
Carolinex099	green	brunette	medium	normal	sensitivity	None
dianajrich	green	black	medium	combination	acne	None
xoangelies	blue	black	tan	normal	darkCircles	35to44
ASM94	blue	blonde	light	dry	acne	None
stefaniestax	blue	black	light	combination	calluses	None
KaleighErin18	brown	blonde	fair	combination	acne	None
samoriarty	hazel	brunette	fair	combination	acne	None
Courtsmkupcornr	green	auburn	light	combination	aging	None
ybeauty101	brown	black	deep	oily	acne	None
RaeMajor	brown	brunette	fair	combination	acne	None
